# Private-history -> public-history commit-SHA map
#
# This repository was published via a one-time git-filter-repo pass that
# redacted two live Signal account identifiers from an ops log (see the
# 'redact live ACIs' commit). Rewriting changed every subsequent commit
# SHA, but tickets and docs throughout docs/plan/ cite the ORIGINAL SHAs
# as stable anchors. This map resolves them: '<original> <published>'.
# Look up an unknown SHA from any doc with: grep <sha-prefix> docs/history-sha-map.txt
old                                      new
ec868450b9c8a2813b6dc88d6e156c702bd597a0 ec868450b9c8a2813b6dc88d6e156c702bd597a0
0419a90eddd8a74fede47faa8eb80f4839acf0f0 0419a90eddd8a74fede47faa8eb80f4839acf0f0
a07dc86197c7ee5b6d099893e2dd535392e29167 a07dc86197c7ee5b6d099893e2dd535392e29167
1025869e7202cb9010d92670d99625b7b55499b0 1025869e7202cb9010d92670d99625b7b55499b0
48e11c56e6e05f698d08ed44709d5d3ad505a1aa 48e11c56e6e05f698d08ed44709d5d3ad505a1aa
e178ae9b3c18c3c8260ab858473167f9753c081f e178ae9b3c18c3c8260ab858473167f9753c081f
59413249bd1f9cdfcc9569f6e7a5765b30342d1c 59413249bd1f9cdfcc9569f6e7a5765b30342d1c
0c20d91e3a26b9e6ff63a63b8fd65f7188dbed0c 0c20d91e3a26b9e6ff63a63b8fd65f7188dbed0c
d0e40d849ef633b5f7206872e1555e32699d2823 d0e40d849ef633b5f7206872e1555e32699d2823
f98c2e0925e1cc54119b49b6d5326005bacc4398 f98c2e0925e1cc54119b49b6d5326005bacc4398
e7c90810a458ace3274d10e8feb35569b34946e2 e7c90810a458ace3274d10e8feb35569b34946e2
fd58367cd6df4035996ff4de552f262e53691bd8 fd58367cd6df4035996ff4de552f262e53691bd8
86b0549f0376b6813f8d12019253b49754705fa3 86b0549f0376b6813f8d12019253b49754705fa3
51d8d20073940ee995eb7aa66c41e4c2c8f28707 51d8d20073940ee995eb7aa66c41e4c2c8f28707
47a29adfbab1d36529e9539d53c717e9f994bb45 47a29adfbab1d36529e9539d53c717e9f994bb45
617949901d4188ffcc33853dd84054d8743f6923 617949901d4188ffcc33853dd84054d8743f6923
17b1fe8615be327dafebb7761979c8ddb1f349c8 17b1fe8615be327dafebb7761979c8ddb1f349c8
53ae75f0560da45396d02b8a91d802164a4435bd 53ae75f0560da45396d02b8a91d802164a4435bd
7de7e5153900571b7b7ae7f151d29066c2c308e7 7de7e5153900571b7b7ae7f151d29066c2c308e7
2555aa26ee37a3224b23b598c9a73b7da45dbb32 2555aa26ee37a3224b23b598c9a73b7da45dbb32
0ce40490090b5ae42fdd43c94ddd193cac6ec383 0ce40490090b5ae42fdd43c94ddd193cac6ec383
155d808efa56a13a2c90e858e7494ad52c750ac2 155d808efa56a13a2c90e858e7494ad52c750ac2
fa1832e02a0e5f99182b2bc0875c8cbfd378bcba fa1832e02a0e5f99182b2bc0875c8cbfd378bcba
a729580fc82361d619ab5c9a0b232c760a8e38f0 a729580fc82361d619ab5c9a0b232c760a8e38f0
24a7466d29842de45ab90cd581599be6ee0467bd 24a7466d29842de45ab90cd581599be6ee0467bd
bc6c7be066a422c40afdc7a1b2a71fc51fedf681 bc6c7be066a422c40afdc7a1b2a71fc51fedf681
0b966d9335cbd00e96b1bd4ca5ae07deffb55d05 0b966d9335cbd00e96b1bd4ca5ae07deffb55d05
87bd407f8afbb5534e6c5246d5810f9ee82c2d63 87bd407f8afbb5534e6c5246d5810f9ee82c2d63
eb03816023a20476f674707a2205febe4c9e99b7 eb03816023a20476f674707a2205febe4c9e99b7
1c095ded80c12e2f0683b0329be80783557dd7a5 1c095ded80c12e2f0683b0329be80783557dd7a5
1b524d3948efe3c42bec7b078c4865222b1f65c6 1b524d3948efe3c42bec7b078c4865222b1f65c6
a00de65b1096d81e0d8fc1e1b1b110ee21c7be69 a00de65b1096d81e0d8fc1e1b1b110ee21c7be69
cd41700f58064e1b994e112cff3c909b0139db2f cd41700f58064e1b994e112cff3c909b0139db2f
d3030248c6ec7da835d30663859746cb00c9cb83 d3030248c6ec7da835d30663859746cb00c9cb83
bad3b7c90240b20a0149dfd65a7d4f1f415bbc1a bad3b7c90240b20a0149dfd65a7d4f1f415bbc1a
90cadd9e93e6458f73da1c9a22d401859e6cab45 90cadd9e93e6458f73da1c9a22d401859e6cab45
e525e9490ef00598a460342d7e1866f457b5f29b e525e9490ef00598a460342d7e1866f457b5f29b
542a6abee388ce0e27db29d9c53888f1a2624666 542a6abee388ce0e27db29d9c53888f1a2624666
ee2bc5c520a99d1c5115f93987dabb0749d1a1ad ee2bc5c520a99d1c5115f93987dabb0749d1a1ad
f8a0a5332969fef4f85240e076bace7751f9a521 f8a0a5332969fef4f85240e076bace7751f9a521
a6e97ecc19ce218e95d79e59ebf3208d1a5c114e a6e97ecc19ce218e95d79e59ebf3208d1a5c114e
1564f63783a833661c9ee2bda43c0d2995e23524 1564f63783a833661c9ee2bda43c0d2995e23524
1ef596edf6204787d1ef83ac1b7adfb587d981df 1ef596edf6204787d1ef83ac1b7adfb587d981df
9cc24f18b1a53d3c79f5007fb17d5b9cb29c52d8 9cc24f18b1a53d3c79f5007fb17d5b9cb29c52d8
0d69c01e4dd762c24599837e14d6875076bf0abb 0d69c01e4dd762c24599837e14d6875076bf0abb
6378e6dd91a4f942d4e72f743c0d6e292e3442ea 6378e6dd91a4f942d4e72f743c0d6e292e3442ea
a738452333abf299709deecdefba3b1284205007 a738452333abf299709deecdefba3b1284205007
ad649e9d632736a40ad7442481bdb3454531ec8d ad649e9d632736a40ad7442481bdb3454531ec8d
6c5e2f9fc1f795a5d55bd9a5c86bb4eb25b56a73 6c5e2f9fc1f795a5d55bd9a5c86bb4eb25b56a73
7e8b0cb0881f0917e7bc90ba077842bcb15d0292 7e8b0cb0881f0917e7bc90ba077842bcb15d0292
60c662962d40725526adf6856416e646cb21bc9d 60c662962d40725526adf6856416e646cb21bc9d
e35a5885a50ee2b854eef4a521c3f6332a8873ab e35a5885a50ee2b854eef4a521c3f6332a8873ab
bc9b78f8739a42eb81c4e595f2616afd9756775d bc9b78f8739a42eb81c4e595f2616afd9756775d
0f57e0198ab22bcfae8c2c508c565dbf54d77bbb 0f57e0198ab22bcfae8c2c508c565dbf54d77bbb
5477c74db683df19c0f96cda0456e2ba93fb27e2 5477c74db683df19c0f96cda0456e2ba93fb27e2
863d368aff59cd2d714cf13b6651709eea9d2a27 863d368aff59cd2d714cf13b6651709eea9d2a27
5253fb94d405e1bef019bd29b17ace49cd21f0c7 5253fb94d405e1bef019bd29b17ace49cd21f0c7
b55366b72683e5d598f788ecc6315fa1692eac7d b55366b72683e5d598f788ecc6315fa1692eac7d
6a66d92a6c0e09dd62ad71f7e21a8a33953ff43d 6a66d92a6c0e09dd62ad71f7e21a8a33953ff43d
dc657709ee6a79e171a83c162d4b601c7b43f1f9 dc657709ee6a79e171a83c162d4b601c7b43f1f9
61177525ac39d80245268ce8e105cebe19eecf59 61177525ac39d80245268ce8e105cebe19eecf59
fd6c7e1074ce825512e7579d4bf0da32e9a05085 fd6c7e1074ce825512e7579d4bf0da32e9a05085
0e1cfae4b7274ba65c9b80f60a8b9fd1dd79d5f9 0e1cfae4b7274ba65c9b80f60a8b9fd1dd79d5f9
c136a74945479a5725407b977fc096a6ce2f9792 c136a74945479a5725407b977fc096a6ce2f9792
3f283eb459219eb5e3cba98710a38444cfbd495b 3f283eb459219eb5e3cba98710a38444cfbd495b
ed4736b3e529bfc7a1cd366a5cd63bb6bfbcab1f ed4736b3e529bfc7a1cd366a5cd63bb6bfbcab1f
f0f1a1c126520b631b27b57ad8400318c575d450 f0f1a1c126520b631b27b57ad8400318c575d450
944671dbf9d446e1c4d1a494510f1154051494d4 944671dbf9d446e1c4d1a494510f1154051494d4
5256d3966a2317fc7b7f9b8d197a1a787a9bc6e3 5256d3966a2317fc7b7f9b8d197a1a787a9bc6e3
585fecb23f468c54be2344264d7511832eef510b 585fecb23f468c54be2344264d7511832eef510b
9feb360ab1427ee7366eff73b51366daaf6fd521 9feb360ab1427ee7366eff73b51366daaf6fd521
f7af7095208e2f8a8af6a8d5ed3ad5d879d4196e f7af7095208e2f8a8af6a8d5ed3ad5d879d4196e
4f0c654cc8f034c7d23372a4ee87420a959586d1 4f0c654cc8f034c7d23372a4ee87420a959586d1
c1f11e63d6348c565aeca5a1f44f983e3a4ad775 c1f11e63d6348c565aeca5a1f44f983e3a4ad775
c32e67fad4031f8972139f4f2e6b805c6be78f8d c32e67fad4031f8972139f4f2e6b805c6be78f8d
63440df4de72657bebd3b1f9468acca974220301 63440df4de72657bebd3b1f9468acca974220301
9ff87506f8fb4cfb8988bc3f7f1e4f12cc6d844b 9ff87506f8fb4cfb8988bc3f7f1e4f12cc6d844b
c74a5baf4293c0e9725c14f117a388ad4497cdc6 c74a5baf4293c0e9725c14f117a388ad4497cdc6
07eecdcc35e8e50696ae45dff5d1f3ed027ed089 07eecdcc35e8e50696ae45dff5d1f3ed027ed089
946bfc55ca2da153e56331be684cc727d14ac309 946bfc55ca2da153e56331be684cc727d14ac309
01b76f68a6a8461d0475f999aad0681f7fa76749 01b76f68a6a8461d0475f999aad0681f7fa76749
e1839d38319663c06d914efbc473f3158b7669f9 e1839d38319663c06d914efbc473f3158b7669f9
60493453ec133dc67dfb5a1989a8a8d3938b0142 60493453ec133dc67dfb5a1989a8a8d3938b0142
cef1e6970efa25284a925b02d3ac0572cb12f0ee cef1e6970efa25284a925b02d3ac0572cb12f0ee
ae1c02c5bddfc5f911b2b02ddc4ff6c46c3606ac ae1c02c5bddfc5f911b2b02ddc4ff6c46c3606ac
976f6115bddf94f33c2893c03d683d1bdf3145f1 976f6115bddf94f33c2893c03d683d1bdf3145f1
ec92abc0421b5dbb6c8bc669274867e5a0b5d972 ec92abc0421b5dbb6c8bc669274867e5a0b5d972
4fdfb5396c1a00eba958b33b6f79d649c588abde 4fdfb5396c1a00eba958b33b6f79d649c588abde
1a9179499c8fc2f5b525c4fdc83c353497e17a5e 1a9179499c8fc2f5b525c4fdc83c353497e17a5e
8508d18106d0aa0254f2168ead6205c9573be4d4 8508d18106d0aa0254f2168ead6205c9573be4d4
cbb9014f966001aea3394aff50af9adbc37de49d cbb9014f966001aea3394aff50af9adbc37de49d
c71ce1447a571d86db639f64130712d4f251628f c71ce1447a571d86db639f64130712d4f251628f
e5880b8357f6632dd34d55d7d7e3cd9e6e7e6c7c e5880b8357f6632dd34d55d7d7e3cd9e6e7e6c7c
